Date,site_no,Mean Flow,Peak Flow,Median Flow,Coeff Var,Skew,Tqmean,R-B Index,7Q,3xMedian,Station
1953-10-01,3335000,221.79508196721312,1950.0,96.0,144.1051372628047,3.3710462903666483,0.22950819672131148,0.2633874126907868,20.0,0,Wildcat
1954-10-01,3335000,608.8520547945205,6300.0,320.0,140.16297551473426,3.8168101759706827,0.3287671232876712,0.26305960914543874,59.0,0,Wildcat
1955-10-01,3335000,599.1939890710382,4820.0,338.0,119.82963219635762,2.8432079158696726,0.30601092896174864,0.25238366658306927,55.0,0,Wildcat
1956-10-01,3335000,986.7260273972603,7840.0,338.0,147.55670343455313,2.405439125568046,0.27123287671232876,0.30575169024447807,99.0,0,Wildcat
1957-10-01,3335000,1218.0164383561644,22100.0,434.0,199.96120024333638,5.0129178367705025,0.19726027397260273,0.30815653566544304,69.0,0,Wildcat
1958-10-01,3335000,934.3753424657534,14900.0,390.0,171.7116828905573,5.125955329252116,0.2958904109589041,0.27134090022782786,78.0,0,Wildcat
1959-10-01,3335000,575.4153005464481,4410.0,368.0,109.38092519490226,3.3339003469866006,0.2923497267759563,0.24392930741398466,40.0,0,Wildcat
1960-10-01,3335000,602.6301369863014,7200.0,176.0,178.0559723908936,3.2818463983315733,0.2,0.2082924168030551,79.0,0,Wildcat
1961-10-01,3335000,763.7835616438356,10300.0,380.0,160.93909931883917,4.52993139991862,0.24383561643835616,0.3149030959785638,50.0,0,Wildcat
1962-10-01,3335000,427.9945205479452,9590.0,174.0,210.5196867234246,6.916197801764076,0.21095890410958903,0.2593299107657248,67.0,0,Wildcat
1963-10-01,3335000,650.7322404371585,17600.0,125.5,247.82870300450344,6.527005052957112,0.21311475409836064,0.31183450337576835,110.0,0,Wildcat
1964-10-01,3335000,561.2164383561644,6100.0,195.0,157.07225183189232,3.1047037422943475,0.27123287671232876,0.2698541329011345,95.0,0,Wildcat
1965-10-01,3335000,315.5780821917808,1690.0,260.0,78.61827800457556,2.3369556412296144,0.36712328767123287,0.12643029534839303,14.0,0,Wildcat
1966-10-01,3335000,713.6246575342466,9040.0,245.0,161.19588332327436,3.5228242605395876,0.2684931506849315,0.24346861286966404,92.0,0,Wildcat
1967-10-01,3335000,707.9918032786885,12300.0,285.0,198.02230781365594,4.982089153916996,0.24316939890710382,0.2804129281234925,65.0,0,Wildcat
1968-10-01,3335000,705.054794520548,12000.0,410.0,177.42484611717666,6.204540908132133,0.2465753424657534,0.25788338611591444,41.0,0,Wildcat
1969-10-01,3335000,883.9972602739726,6980.0,510.0,126.75067482210676,3.019453762567284,0.2684931506849315,0.26191738026833283,49.0,0,Wildcat
1970-10-01,3335000,602.2630136986302,6120.0,378.0,128.74199169232506,3.7916195967802278,0.2273972602739726,0.2841793054506746,36.0,0,Wildcat
1971-10-01,3335000,717.9071038251366,10500.0,338.5,162.12643897001996,4.611018560221323,0.2540983606557377,0.23881272977766277,56.0,0,Wildcat
1972-10-01,3335000,1204.8849315068494,6020.0,776.0,96.85316496110866,1.7576076486340801,0.3287671232876712,0.23629608238608588,50.0,0,Wildcat
1973-10-01,3335000,1359.386301369863,11800.0,672.0,138.3104490160792,2.6620457713261767,0.2602739726027397,0.2390563026023024,69.0,0,Wildcat
1974-10-01,3335000,780.9890410958905,6840.0,508.0,122.79487591008098,3.395135404672655,0.2876712328767123,0.2882330448570657,40.0,0,Wildcat
1975-10-01,3335000,732.7677595628415,9340.0,306.5,175.88210223114925,3.985360797104407,0.20218579234972678,0.27247914747961355,59.0,0,Wildcat
1976-10-01,3335000,320.4986301369863,2510.0,134.0,127.64193300907355,2.61845659881847,0.29863013698630136,0.23900258159374946,85.0,0,Wildcat
1977-10-01,3335000,1096.1205479452055,10800.0,400.0,154.28620972689933,2.9696215946678906,0.2465753424657534,0.2501774627328261,85.0,0,Wildcat
1978-10-01,3335000,681.7095890410959,8200.0,306.0,150.10366320771502,3.993777307055723,0.26301369863013696,0.3234334308587596,79.0,0,Wildcat
1979-10-01,3335000,877.7267759562842,11900.0,415.0,151.422073761112,4.657459810223763,0.23770491803278687,0.2591704851080785,70.0,0,Wildcat
1980-10-01,3335000,598.254794520548,8890.0,235.0,155.9111958359996,4.534913889358988,0.2876712328767123,0.2644633019330198,91.0,0,Wildcat
1981-10-01,3335000,1140.0657534246575,8660.0,533.0,127.70296293678389,2.5844004131432787,0.27123287671232876,0.2733632282684969,76.0,0,Wildcat
1982-10-01,3335000,838.813698630137,17800.0,430.0,180.65444740674343,6.857456092129036,0.2684931506849315,0.26938566207331294,58.0,0,Wildcat
1983-10-01,3335000,770.8415300546449,7430.0,351.5,142.6607089460771,2.8855192699475833,0.2459016393442623,0.2227003345998979,72.0,0,Wildcat
1984-10-01,3335000,773.8383561643835,17100.0,283.0,218.72114307075998,6.080595358633654,0.18356164383561643,0.26638248758191685,63.0,0,Wildcat
1985-10-01,3335000,925.9561643835616,8000.0,442.0,142.00910562478725,2.9912042538076578,0.27945205479452057,0.2767254285832638,69.0,0,Wildcat
1986-10-01,3335000,310.3534246575342,1750.0,248.0,75.45527896287301,2.488045913116209,0.29315068493150687,0.1668093821449695,23.0,0,Wildcat
1987-10-01,3335000,559.6994535519126,5950.0,235.0,140.17429829715172,3.306868350712039,0.29508196721311475,0.2045106175250183,90.0,0,Wildcat
1988-10-01,3335000,853.9232876712329,16100.0,421.0,190.4216147575054,5.476521389974545,0.19726027397260273,0.3167555392996708,52.0,0,Wildcat
